,adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
2942,False,"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Family']",16791,en,Five Children and It,8.236,2004-10-15,Five Children and It,False,5.5,132
2943,False,['Comedy'],6733,de,Wo ist Fred?,5.831,2006-11-15,Where Is Fred?,False,6.1,81
2944,False,"['Crime', 'Drama']",401743,en,The Most Hated Woman in America,7.783,2017-03-14,The Most Hated Woman in America,False,6.0,91
2945,False,"['Crime', 'Drama', 'Mystery', 'Thriller']",317091,en,November Criminals,6.465,2017-12-08,November Criminals,False,5.1,345
2946,False,"['Comedy', 'Drama', 'Romance']",10846,it,La tigre e la neve,5.854,2005-10-14,The Tiger and the Snow,False,6.9,271
2947,False,"['Comedy', 'Drama']",13787,en,Holy Smoke,6.6,2000-02-18,Holy Smoke,False,5.6,91
2948,False,['Comedy'],341392,fr,Lolo,6.659,2016-03-11,Lolo,False,5.4,217
2949,False,"['Action', 'Comedy', 'Crime']",14396,en,Code Name: The Cleaner,7.211,2007-01-05,Code Name: The Cleaner,False,4.6,117
2950,False,['Drama'],168508,id,Something in the Way,9.213,2013-02-08,Something in the Way,False,7.0,1
2951,False,"['Action', 'Adventure', 'Animation']",44727,ja,ワンピース デッドエンドの冒険,7.619,2003-12-31,One Piece: Dead End Adventure,False,7.0,60
2952,False,"['Drama', 'Romance']",43619,fr,Partir,6.152,2009-08-12,Leaving,False,6.2,52
2953,False,"['Drama', 'Romance', 'Thriller']",41472,ja,花と蛇,8.553,2004-03-13,Flower & Snake,False,5.6,11
2954,False,"['Action', 'Mystery']",530254,ko,마녀,6.064,2018-06-27,The Witch: Part 1. The Subversion,False,7.5,34
2955,False,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Horror']",63700,en,My Babysitter's a Vampire,7.026,2012-06-25,My Babysitter's a Vampire,False,6.1,143
2956,False,['Comedy'],16279,en,The Great Buck Howard,7.437,2008-01-18,The Great Buck Howard,False,5.9,132
2957,False,"['Mystery', 'Horror', 'Thriller']",74777,en,Absentia,7.463,2011-03-03,Absentia,False,5.9,179
2958,False,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",28510,en,Universal Soldier: Regeneration,5.45,2009-10-01,Universal Soldier: Regeneration,False,5.4,188
2959,False,['Drama'],1405,en,Greed,7.595,1925-01-26,Greed,False,7.7,59
2960,False,"['Drama', 'Mystery', 'Thriller']",10742,en,The Clearing,6.211,2004-07-02,The Clearing,False,5.8,113
2961,False,"['Comedy', 'Adventure']",37565,en,St Trinian's 2: The Legend of Fritton's Gold,7.1,2009-12-18,St Trinian's 2: The Legend of Fritton's Gold,False,5.6,127
2962,False,"['Action', 'Comedy', 'Mystery']",453127,ko,청년경찰,7.5,2017-08-09,Midnight Runners,False,7.7,82
2963,False,['Crime'],4235,fr,Le Clan des Siciliens,7.228,1970-03-29,The Sicilian Clan,False,7.7,104
2964,False,['Comedy'],302798,it,La scuola più bella del mondo,6.236,2014-11-13,La scuola più bella del mondo,False,5.8,142
