adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
FALSE,"['Adventure', 'Comedy', 'Drama', 'Science Fiction']",5172,en,The Astronaut Farmer,8.203,10/15/2006,The Astronaut Farmer,FALSE,6.2,183
FALSE,['Adventure'],10243,en,The Flight of the Phoenix,8.796,12/15/1965,The Flight of the Phoenix,FALSE,7.3,133
FALSE,['Drama'],39013,en,Winter's Bone,7.762,6/11/2010,Winter's Bone,FALSE,6.9,955
FALSE,"['Drama', 'War']",12412,en,Miracle at St. Anna,7.324,9/15/2008,Miracle at St. Anna,FALSE,6.2,198
FALSE,"['Action', 'Fantasy', 'Thriller']",10546,en,The Crow: City of Angels,7.526,8/30/1996,The Crow: City of Angels,FALSE,5.1,211
FALSE,"['Drama', 'Comedy', 'Romance']",458,de,Sissi - Die junge Kaiserin,7.759,12/1/1956,Sissi: The Young Empress,FALSE,7.3,199
FALSE,['Drama'],29845,en,A Woman Under the Influence,6.77,10/11/1974,A Woman Under the Influence,FALSE,8,164
FALSE,"['Drama', 'Romance']",15859,ko,내 머리 속의 지우개,7.31,11/5/2004,A Moment to Remember,FALSE,7.6,132
FALSE,"['Drama', 'Mystery', 'Thriller']",18030,en,Kiss Me Deadly,6.509,5/18/1955,Kiss Me Deadly,FALSE,7.2,150
FALSE,"['Mystery', 'Thriller', 'Western']",324560,en,Brimstone,9.273,3/10/2017,Brimstone,FALSE,7.1,502
FALSE,"['Action', 'Drama', 'History', 'War']",152760,en,The Monuments Men,8.676,2/7/2014,The Monuments Men,FALSE,5.9,2298
FALSE,"['Comedy', 'Drama']",502422,en,Thunder Road,8.628,3/12/2018,Thunder Road,FALSE,7,99
FALSE,"['Horror', 'Thriller']",9357,en,One Hour Photo,7.361,8/21/2002,One Hour Photo,FALSE,6.7,834
FALSE,"['Comedy', 'Horror', 'Thriller', 'Crime']",27381,en,Innocent Blood,6.045,9/25/1992,Innocent Blood,FALSE,6.2,96
FALSE,"['Drama', 'Action', 'Crime', 'Thriller']",9812,en,Thursday,6.809,11/13/1998,Thursday,FALSE,7.1,144
FALSE,"['Drama', 'Romance', 'Comedy']",113947,en,The Sessions,6.176,10/18/2012,The Sessions,FALSE,6.9,301
FALSE,"['Thriller', 'Mystery']",29917,en,Exam,9.436,6/19/2009,Exam,FALSE,6.7,1009
FALSE,"['Drama', 'History']",1887,en,Marie Antoinette,10.858,10/20/2006,Marie Antoinette,FALSE,6.6,1408
FALSE,"['Action', 'Thriller']",14636,en,The Condemned,7.236,4/27/2007,The Condemned,FALSE,5.9,358
FALSE,['Thriller'],627939,en,Survival Box,9.377,9/3/2019,Survival Box,FALSE,6,3
FALSE,"['Comedy', 'Drama']",269258,de,Honig im Kopf,6.642,12/25/2014,Head Full of Honey,FALSE,7.6,200
FALSE,"['Action', 'Science Fiction', 'Thriller']",475759,en,2048: Nowhere to Run,7.559,9/14/2017,2048: Nowhere to Run,FALSE,6.9,137
FALSE,"['Action', 'Comedy']",2335,fr,Taxi 4,10.094,2/10/2007,Taxi 4,FALSE,5.5,630
FALSE,['Comedy'],432068,fr,Le Sens de la fête,9.582,10/4/2017,C'est la vie!,FALSE,6.8,765
FALSE,"['Drama', 'War', 'Mystery']",46738,fr,Incendies,8.674,9/4/2010,Incendies,FALSE,8.1,1071
FALSE,['Comedy'],11157,en,She-Devil,5.982,12/8/1989,She-Devil,FALSE,5.9,176
FALSE,"['Adventure', 'Animation', 'Comedy', 'Family']",133931,en,Zambezia,8.513,7/7/2012,Zambezia,FALSE,5.6,138
FALSE,"['Action', 'Science Fiction']",1688,en,Conquest of the Planet of the Apes,7.842,6/29/1972,Conquest of the Planet of the Apes,FALSE,6.2,392
FALSE,"['Horror', 'Action', 'Science Fiction']",16139,en,Phantasm III: Lord of the Dead,5.759,5/6/1994,Phantasm III: Lord of the Dead,FALSE,5.7,91
FALSE,"['Adventure', 'Action', 'Comedy', 'Family']",18885,en,3 Ninjas Kick Back,7.462,5/6/1994,3 Ninjas Kick Back,FALSE,5,115
FALSE,['Drama'],17740,en,Powder Blue,6.06,5/8/2009,Powder Blue,FALSE,6.2,107
FALSE,"['Comedy', 'Drama']",13776,en,Diner,6.444,4/2/1982,Diner,FALSE,6.9,138
FALSE,['Comedy'],34494,it,Scusa ma ti chiamo amore,7.52,2/2/2008,Sorry if I Love You,FALSE,5.4,386
FALSE,"['Action', 'Comedy']",9409,en,Another Stakeout,7.616,7/22/1993,Another Stakeout,FALSE,5.3,97
FALSE,"['Crime', 'Drama', 'Thriller']",16164,en,Killshot,6.573,11/13/2008,Killshot,FALSE,5.8,132
FALSE,['Drama'],591906,fa,رحمان 1400,7.798,1/1/2018,Rahman 1400,FALSE,3,1
